UNIXTime,Data,Time,Radiation,Temperature,Pressure,Humidity,WindDirection(Degrees),Speed,TimeSunRise,TimeSunSet
1475229326,09-29-2016,23:55:26,1.21,48.0,30.435121546704778,59.0,177.39,5.62,06:13:00,18:13:00
1475229023,09-29-2016,23:50:23,1.21,48.0,30.50590307643831,58.0,176.78,3.37,06:13:00,18:13:00
1475228726,09-29-2016,23:45:26,1.23,48.0,30.54292346060889,57.0,158.75,3.37,06:13:00,18:13:00
1475228421,29/09/2016,23:40:21,,48.0,30.391634903159655,60.0,137.71,3.37,06:13:00,18:13:00
1475228124,29/09/2016,23:35:24,1.17,48.0,30.51996030047847,62.0,104.95,5.62,06:13:00,18:13:00
1475227824,09-29-2016,23:30:24,1.21,48.0,30.456182487125183,64.0,120.2,5.62,06:13:00,18:13:00
1475227519,29/09/2016,23:25:19,,49.0,30.418206422515286,72.0,112.45,6.75,06:13:00,18:13:00
1475227222,09-29-2016,23:20:22,12.4,49.0,30.463389714030342,,122.97,5.62,06:13:00,18:13:00
1475226922,09-29-2016,23:15:22,1.23,49.0,30.50132555572478,80.0,101.18,4.5,06:13:00,18:13:00
1475226622,29/09/2016,23:10:22,1.21,49.0,30.54111329461096,85.0,141.87,4.5,06:13:00,18:13:00
1475226323,09-29-2016,23:05:23,1.23,49.0,30.46138471010363,93.0,120.55,2.25,06:13:00,18:13:00
1475226025,09-29-2016,23:00:25,1.21,49.0,30.439334225462428,98.0,144.19,3.37,06:13:00,18:13:00
1475225720,29/09/2016,22:55:20,1.22,49.0,30.436509354182306,99.0,139.8,6.75,06:13:00,18:13:00
1475225419,29/09/2016,22:50:19,1.21,50.0,30.520659617750027,99.0,140.92,2.25,06:13:00,18:13:00
1475225131,2016-09-29,22:45:31,1.23,50.0,30.49772515430063,99.0,147.61,5.62,06:13:00,18:13:00
1475224823,29/09/2016,22:40:23,1.22,50.0,,99.0,113.78,4.5,06:13:00,18:13:00
1475224519,29/09/2016,22:35:19,,50.0,30.52984401749653,,123.03,10.12,06:13:00,18:13:00
1475224222,09-29-2016,22:30:22,1.22,50.0,30.578170310485007,99.0,173.73,6.75,06:13:00,18:13:00
1475223919,09-29-2016,22:25:19,12.2,50.0,30.472529495399975,98.0,91.43,6.75,06:13:00,18:13:00
1475223622,09-29-2016,22:20:22,1.2,50.0,30.500236535418995,98.0,109.74,6.75,06:13:00,18:13:00
1475223322,09-29-2016,22:15:22,1.2,50.0,30.395852904390086,98.0,143.53,2.25,06:13:00,18:13:00
1475223021,09-29-2016,22:10:21,1.2,50.0,30.537310776059993,97.0,146.76,5.62,06:13:00,18:13:00
1475222720,29/09/2016,22:05:20,1.21,50.0,30.51827756506238,97.0,158.35,4.5,06:13:00,18:13:00
1475222426,09-29-2016,22:00:26,1.22,50.0,30.494439654118754,97.0,166.05,5.62,06:13:00,18:13:00
1475222120,29/09/2016,21:55:20,12.2,50.0,30.391090942119,96.0,151.82,5.62,06:13:00,18:13:00
1475221832,09-29-2016,21:50:32,,50.0,30.42113027058198,96.0,152.52,6.75,06:13:00,18:13:00
1475221528,09-29-2016,21:45:28,1.24,50.0,30.397408966840377,95.0,127.82,7.87,06:13:00,18:13:00
1475221220,2016-09-29,21:40:20,1.23,50.0,30.487515830141817,95.0,157.58,6.75,06:13:00,18:13:00
1475220921,2016-09-29,21:35:21,1.23,50.0,30.34036631028784,95.0,172.96,7.87,06:13:00,18:13:00
1475220621,29/09/2016,21:30:21,1.23,,30.510832711105742,95.0,143.82,6.75,06:13:00,18:13:00
1475220322,29/09/2016,21:25:22,1.24,50.0,30.48996081385319,94.0,154.03,5.62,06:13:00,18:13:00
1475220021,09-29-2016,21:20:21,1.2,50.0,30.41516002601659,93.0,165.93,4.5,06:13:00,18:13:00
1475219723,29/09/2016,21:15:23,1.24,,30.4265888361981,93.0,139.82,7.87,06:13:00,18:13:00
1475219420,2016-09-29,21:10:20,1.21,49.0,30.418631314595125,93.0,166.07,9.0,06:13:00,18:13:00
1475219126,2016-09-29,21:05:26,1.24,50.0,30.458329224242295,93.0,116.16,5.62,06:13:00,18:13:00
1475218820,09-29-2016,21:00:20,1.2,50.0,30.50673990384416,92.0,157.48,4.5,06:13:00,18:13:00
1475218518,09-29-2016,20:55:18,1.19,50.0,30.506716452911764,91.0,112.27,7.87,06:13:00,18:13:00
1475218220,2016-09-29,20:50:20,1.25,50.0,30.472629769345374,90.0,133.69,6.75,06:13:00,18:13:00
1475217924,29/09/2016,20:45:24,1.25,50.0,30.450669109594674,88.0,140.64,6.75,06:13:00,18:13:00
1475217619,29/09/2016,20:40:19,1.23,,30.521817625201372,87.0,52.89,1.12,06:13:00,18:13:00
1475217319,29/09/2016,20:35:19,1.21,50.0,30.582892462323134,86.0,132.66,4.5,06:13:00,18:13:00
1475217018,29/09/2016,20:30:18,1.25,50.0,30.533442780003142,85.0,138.35,5.62,06:13:00,18:13:00
1475216720,09-29-2016,20:25:20,1.23,50.0,30.461168890211592,84.0,109.87,3.37,06:13:00,18:13:00
1475216423,09-29-2016,20:20:23,1.23,,30.52499312645114,81.0,123.25,3.37,06:13:00,18:13:00
1475216120,09-29-2016,20:15:20,1.26,500.0,30.501983264870564,75.0,158.64,4.5,06:13:00,18:13:00
1475215822,09-29-2016,20:10:22,1.17,50.0,30.496465480355653,70.0,165.22,5.62,06:13:00,18:13:00
1475215522,09-29-2016,20:05:22,1.22,500.0,30.49020129298712,63.0,160.51,3.37,06:13:00,18:13:00
1475215218,29/09/2016,20:00:18,1.22,,30.487322959158007,51.0,155.36,4.5,06:13:00,18:13:00
1475214923,29/09/2016,19:55:23,,50.0,30.43126510852505,47.0,157.78,6.75,06:13:00,18:13:00
1475214622,09-29-2016,19:50:22,1.24,50.0,30.445342504636212,46.0,151.6,3.37,06:13:00,18:13:00
1475214325,09-29-2016,19:45:25,,50.0,30.493134517869443,47.0,105.78,4.5,06:13:00,18:13:00
1475214022,29/09/2016,19:40:22,1.19,50.0,30.459662069722782,48.0,135.55,4.5,06:13:00,18:13:00
1475213722,09-29-2016,19:35:22,1.19,50.0,,56.0,140.92,4.5,06:13:00,18:13:00
1475213420,09-29-2016,19:30:20,1.23,50.0,30.454790792719923,57.0,165.0,4.5,06:13:00,18:13:00
1475213121,29/09/2016,19:25:21,,51.0,30.506374419960384,55.0,126.63,3.37,06:13:00,18:13:00
1475212820,2016-09-29,19:20:20,1.23,51.0,30.423858275726495,,119.97,4.5,06:13:00,18:13:00
1475212522,29/09/2016,19:15:22,12.2,510.0,30.38847129851862,53.0,95.57,2.25,06:13:00,18:13:00
1475212224,09-29-2016,19:10:24,,51.0,30.427261086457893,,100.02,4.5,06:13:00,18:13:00
1475211920,2016-09-29,19:05:20,1.24,51.0,30.4723557492106,,111.73,2.25,06:13:00,18:13:00
1475211624,09-29-2016,19:00:24,1.23,51.0,30.403888752633073,52.0,145.77,5.62,06:13:00,18:13:00
1475211319,09-29-2016,18:55:19,1.23,,30.439566443397,51.0,105.89,6.75,06:13:00,18:13:00
1475211024,29/09/2016,18:50:24,1.24,51.0,30.456417443479662,52.0,120.86,5.62,06:13:00,18:13:00
1475210719,09-29-2016,18:45:19,,51.0,30.549462290192956,55.0,170.11,5.62,06:13:00,18:13:00
1475210421,09-29-2016,18:40:21,1.21,,30.463181904830503,55.0,107.15,5.62,06:13:00,18:13:00
1475210121,09-29-2016,18:35:21,,52.0,30.395633440155613,55.0,129.29,6.75,06:13:00,18:13:00
1475209823,09-29-2016,18:30:23,11.799999999999999,,30.491791266372896,59.0,158.73,3.37,06:13:00,18:13:00
1475209519,29/09/2016,18:25:19,1.52,52.0,,59.0,211.38,2.25,06:13:00,18:13:00
1475209223,09-29-2016,18:20:23,,53.0,30.402763047251234,61.0,174.97,4.5,06:13:00,18:13:00
1475208921,09-29-2016,18:15:21,6.16,53.0,30.39362194498457,,120.78,7.87,06:13:00,18:13:00
1475208652,09-29-2016,18:10:52,,53.0,30.466544674269347,59.0,118.82,,06:13:00,18:13:00
1475208322,09-29-2016,18:05:22,10.96,54.0,30.33005196392573,59.0,154.16,4.5,06:13:00,18:13:00
1475208022,2016-09-29,18:00:22,19.42,55.0,30.42262768382207,57.0,58.42,6.75,06:13:00,18:13:00
1475207722,2016-09-29,17:55:22,27.14,55.0,30.509883377369505,53.0,47.86,4.5,06:13:00,18:13:00
1475207419,29/09/2016,17:50:19,,56.0,30.462216139991018,52.0,74.56,2.25,06:13:00,18:13:00
1475207122,2016-09-29,17:45:22,49.57,56.0,30.439382358619085,49.0,25.72,6.75,06:13:00,18:13:00
1475206822,09-29-2016,17:40:22,59.62,560.0,30.448374231005328,50.0,102.11,,06:13:00,18:13:00
1475206538,29/09/2016,17:35:38,87.23,560.0,30.31383203052738,48.0,67.49,,06:13:00,18:13:00
1475206225,09-29-2016,17:30:25,109.93,56.0,30.399596462884862,49.0,180.29,2.25,06:13:00,18:13:00
1475205925,09-29-2016,17:25:25,,57.0,30.492606509273184,57.0,150.2,,06:13:00,18:13:00
1475205625,2016-09-29,17:20:25,160.52,,30.483847261043632,55.0,47.3,5.62,06:13:00,18:13:00
1475205320,09-29-2016,17:15:20,191.37,58.0,30.525281750305744,52.0,333.81,1.12,06:13:00,18:13:00
1475205020,09-29-2016,17:10:20,,58.0,30.49332899318757,49.0,41.62,4.5,06:13:00,18:13:00
1475204722,2016-09-29,17:05:22,240.99,58.0,30.4326499023793,45.0,132.36,5.62,06:13:00,18:13:00
1475204424,29/09/2016,17:00:24,,58.0,30.333174699245458,41.0,332.09,4.5,06:13:00,18:13:00
1475204125,09-29-2016,16:55:25,300.94,580.0,30.460823872254817,55.0,45.88,3.37,06:13:00,18:13:00
1475203822,2016-09-29,16:50:22,322.71,58.0,30.434140554350712,56.0,94.24,7.87,06:13:00,18:13:00
1475203538,09-29-2016,16:45:38,346.59,58.0,30.443852418047854,50.0,81.57,,06:13:00,18:13:00
1475203220,2016-09-29,16:40:20,364.18,58.0,30.334691307642206,49.0,351.03,7.87,06:13:00,18:13:00
1475202941,2016-09-29,16:35:41,368.35,,30.44738782416273,51.0,78.81,5.62,06:13:00,18:13:00
