UNIXTIME,DATE,TIME,RADIATION,TEMPERATURE,PRESSURE,HUMIDITY,WINDDIRECTION,SPEED,TIMESUNRISE,TIMESUNSET
1475229326,09-29-2016,23:55:26,121.0,48.0,30.435,59.0,177.39,5.62,06:13:00,18:13:00
1475229023,09-29-2016,23:50:23,121.0,48.0,30.506,58.0,176.78,33.7,06:13:00,18:13:00
1475228726,09-29-2016,23:45:26,123.0,48.0,30.543,57.0,158.75,33.7,06:13:00,18:13:00
1475228421,09-29-2016,23:40:21,289.58,48.0,30.392,60.0,137.71,33.7,06:13:00,18:13:00
1475228124,09-29-2016,23:35:24,117.0,48.0,30.52,62.0,104.95,5.62,06:13:00,18:13:00
1475227824,09-29-2016,23:30:24,121.0,48.0,30.456,64.0,120.2,5.62,06:13:00,18:13:00
1475227519,09-29-2016,23:25:19,289.58,49.0,30.418,72.0,112.45,6.75,06:13:00,18:13:00
1475227222,09-29-2016,23:20:22,124.0,49.0,30.463,68.8,122.97,5.62,06:13:00,18:13:00
1475226922,09-29-2016,23:15:22,123.0,49.0,30.501,80.0,101.18,45.0,06:13:00,18:13:00
1475226622,09-29-2016,23:10:22,121.0,49.0,30.541,85.0,141.87,45.0,06:13:00,18:13:00
1475226323,09-29-2016,23:05:23,123.0,49.0,30.461,93.0,120.55,22.5,06:13:00,18:13:00
1475226025,09-29-2016,23:00:25,121.0,49.0,30.439,98.0,144.19,33.7,06:13:00,18:13:00
1475225720,09-29-2016,22:55:20,122.0,49.0,30.437,99.0,139.8,6.75,06:13:00,18:13:00
1475225419,09-29-2016,22:50:19,121.0,50.0,30.521,99.0,140.92,22.5,06:13:00,18:13:00
1475225131,09-29-2016,22:45:31,123.0,50.0,30.498,99.0,147.61,5.62,06:13:00,18:13:00
1475224823,09-29-2016,22:40:23,122.0,50.0,30.42280884353741,99.0,113.78,45.0,06:13:00,18:13:00
1475224519,09-29-2016,22:35:19,289.58,50.0,30.53,68.8,123.03,10.12,06:13:00,18:13:00
1475224222,09-29-2016,22:30:22,122.0,50.0,30.578,99.0,173.73,6.75,06:13:00,18:13:00
1475223919,09-29-2016,22:25:19,122.0,50.0,30.473,98.0,91.43,6.75,06:13:00,18:13:00
1475223622,09-29-2016,22:20:22,120.0,50.0,30.5,98.0,109.74,6.75,06:13:00,18:13:00
1475223322,09-29-2016,22:15:22,120.0,50.0,30.396,98.0,143.53,22.5,06:13:00,18:13:00
1475223021,09-29-2016,22:10:21,120.0,50.0,30.537,97.0,146.76,5.62,06:13:00,18:13:00
1475222720,09-29-2016,22:05:20,121.0,50.0,30.518,97.0,158.35,45.0,06:13:00,18:13:00
1475222426,09-29-2016,22:00:26,122.0,50.0,30.494,97.0,166.05,5.62,06:13:00,18:13:00
1475222120,09-29-2016,21:55:20,122.0,50.0,30.391,96.0,151.82,5.62,06:13:00,18:13:00
1475221832,09-29-2016,21:50:32,289.58,50.0,30.421,96.0,152.52,6.75,06:13:00,18:13:00
1475221528,09-29-2016,21:45:28,124.0,50.0,30.397,95.0,127.82,7.87,06:13:00,18:13:00
1475221220,09-29-2016,21:40:20,123.0,50.0,30.488,95.0,157.58,6.75,06:13:00,18:13:00
1475220921,09-29-2016,21:35:21,123.0,50.0,30.34,95.0,172.96,7.87,06:13:00,18:13:00
1475220621,09-29-2016,21:30:21,123.0,54.4,30.511,95.0,143.82,6.75,06:13:00,18:13:00
1475220322,09-29-2016,21:25:22,124.0,50.0,30.49,94.0,154.03,5.62,06:13:00,18:13:00
1475220021,09-29-2016,21:20:21,120.0,50.0,30.415,93.0,165.93,45.0,06:13:00,18:13:00
1475219723,09-29-2016,21:15:23,124.0,54.4,30.427,93.0,139.82,7.87,06:13:00,18:13:00
1475219420,09-29-2016,21:10:20,121.0,49.0,30.419,93.0,166.07,9.0,06:13:00,18:13:00
1475219126,09-29-2016,21:05:26,124.0,50.0,30.458,93.0,116.16,5.62,06:13:00,18:13:00
1475218820,09-29-2016,21:00:20,120.0,50.0,30.507,92.0,157.48,45.0,06:13:00,18:13:00
1475218518,09-29-2016,20:55:18,119.0,50.0,30.507,91.0,112.27,7.87,06:13:00,18:13:00
1475218220,09-29-2016,20:50:20,125.0,50.0,30.473,90.0,133.69,6.75,06:13:00,18:13:00
1475217924,09-29-2016,20:45:24,125.0,50.0,30.451,88.0,140.64,6.75,06:13:00,18:13:00
1475217619,09-29-2016,20:40:19,123.0,54.4,30.522,87.0,52.89,11.2,06:13:00,18:13:00
1475217319,09-29-2016,20:35:19,121.0,50.0,30.583,86.0,132.66,45.0,06:13:00,18:13:00
1475217018,09-29-2016,20:30:18,125.0,50.0,30.533,85.0,138.35,5.62,06:13:00,18:13:00
1475216720,09-29-2016,20:25:20,123.0,50.0,30.461,84.0,109.87,33.7,06:13:00,18:13:00
1475216423,09-29-2016,20:20:23,123.0,54.4,30.525,81.0,123.25,33.7,06:13:00,18:13:00
1475216120,09-29-2016,20:15:20,126.0,50.0,30.502,75.0,158.64,45.0,06:13:00,18:13:00
1475215822,09-29-2016,20:10:22,117.0,50.0,30.496,70.0,165.22,5.62,06:13:00,18:13:00
1475215522,09-29-2016,20:05:22,122.0,50.0,30.49,63.0,160.51,33.7,06:13:00,18:13:00
1475215218,09-29-2016,20:00:18,122.0,54.4,30.487,51.0,155.36,45.0,06:13:00,18:13:00
1475214923,09-29-2016,19:55:23,289.58,50.0,30.431,47.0,157.78,6.75,06:13:00,18:13:00
1475214622,09-29-2016,19:50:22,124.0,50.0,30.445,46.0,151.6,33.7,06:13:00,18:13:00
1475214325,09-29-2016,19:45:25,289.58,50.0,30.493,47.0,105.78,45.0,06:13:00,18:13:00
1475214022,09-29-2016,19:40:22,119.0,50.0,30.46,48.0,135.55,45.0,06:13:00,18:13:00
1475213722,09-29-2016,19:35:22,119.0,50.0,30.42280884353741,56.0,140.92,45.0,06:13:00,18:13:00
1475213420,09-29-2016,19:30:20,123.0,50.0,30.455,57.0,165.0,45.0,06:13:00,18:13:00
1475213121,09-29-2016,19:25:21,289.58,51.0,30.506,55.0,126.63,33.7,06:13:00,18:13:00
1475212820,09-29-2016,19:20:20,123.0,51.0,30.424,68.8,119.97,45.0,06:13:00,18:13:00
1475212522,09-29-2016,19:15:22,122.0,51.0,30.388,53.0,95.57,22.5,06:13:00,18:13:00
1475212224,09-29-2016,19:10:24,289.58,51.0,30.427,68.8,100.02,45.0,06:13:00,18:13:00
1475211920,09-29-2016,19:05:20,124.0,51.0,30.472,68.8,111.73,22.5,06:13:00,18:13:00
1475211624,09-29-2016,19:00:24,123.0,51.0,30.404,52.0,145.77,5.62,06:13:00,18:13:00
1475211319,09-29-2016,18:55:19,123.0,54.4,30.44,51.0,105.89,6.75,06:13:00,18:13:00
1475211024,09-29-2016,18:50:24,124.0,51.0,30.456,52.0,120.86,5.62,06:13:00,18:13:00
1475210719,09-29-2016,18:45:19,289.58,51.0,30.549,55.0,170.11,5.62,06:13:00,18:13:00
1475210421,09-29-2016,18:40:21,121.0,54.4,30.463,55.0,107.15,5.62,06:13:00,18:13:00
1475210121,09-29-2016,18:35:21,289.58,52.0,30.396,55.0,129.29,6.75,06:13:00,18:13:00
1475209823,09-29-2016,18:30:23,118.0,54.4,30.492,59.0,158.73,33.7,06:13:00,18:13:00
1475209519,09-29-2016,18:25:19,152.0,52.0,30.42280884353741,59.0,211.38,22.5,06:13:00,18:13:00
1475209223,09-29-2016,18:20:23,289.58,53.0,30.403,61.0,174.97,45.0,06:13:00,18:13:00
1475208921,09-29-2016,18:15:21,616.0,53.0,30.394,68.8,120.78,7.87,06:13:00,18:13:00
1475208652,09-29-2016,18:10:52,289.58,53.0,30.467,59.0,118.82,18.73,06:13:00,18:13:00
1475208322,09-29-2016,18:05:22,109.6,54.0,30.33,59.0,154.16,45.0,06:13:00,18:13:00
1475208022,09-29-2016,18:00:22,194.2,55.0,30.423,57.0,58.42,6.75,06:13:00,18:13:00
1475207722,09-29-2016,17:55:22,271.4,55.0,30.51,53.0,47.86,45.0,06:13:00,18:13:00
1475207419,09-29-2016,17:50:19,289.58,56.0,30.462,52.0,74.56,22.5,06:13:00,18:13:00
1475207122,09-29-2016,17:45:22,495.7,56.0,30.439,49.0,25.72,6.75,06:13:00,18:13:00
1475206822,09-29-2016,17:40:22,596.2,56.0,30.448,50.0,102.11,18.73,06:13:00,18:13:00
1475206538,09-29-2016,17:35:38,872.3,56.0,30.314,48.0,67.49,18.73,06:13:00,18:13:00
1475206225,09-29-2016,17:30:25,109.93,56.0,30.4,49.0,180.29,22.5,06:13:00,18:13:00
1475205925,09-29-2016,17:25:25,289.58,57.0,30.493,57.0,150.2,18.73,06:13:00,18:13:00
1475205625,09-29-2016,17:20:25,160.52,54.4,30.484,55.0,47.3,5.62,06:13:00,18:13:00
1475205320,09-29-2016,17:15:20,191.37,58.0,30.525,52.0,333.81,11.2,06:13:00,18:13:00
1475205020,09-29-2016,17:10:20,289.58,58.0,30.493,49.0,41.62,45.0,06:13:00,18:13:00
1475204722,09-29-2016,17:05:22,240.99,58.0,30.433,45.0,132.36,5.62,06:13:00,18:13:00
1475204424,09-29-2016,17:00:24,289.58,58.0,30.333,41.0,332.09,45.0,06:13:00,18:13:00
1475204125,09-29-2016,16:55:25,300.94,58.0,30.461,55.0,45.88,33.7,06:13:00,18:13:00
1475203822,09-29-2016,16:50:22,322.71,58.0,30.434,56.0,94.24,7.87,06:13:00,18:13:00
1475203538,09-29-2016,16:45:38,346.59,58.0,30.444,50.0,81.57,18.73,06:13:00,18:13:00
1475203220,09-29-2016,16:40:20,364.18,58.0,30.335,49.0,351.03,7.87,06:13:00,18:13:00
1475202941,09-29-2016,16:35:41,368.35,54.4,30.447,51.0,78.81,5.62,06:13:00,18:13:00
1475202622,09-29-2016,16:30:22,362.84,58.0,30.385,46.0,85.96,5.62,06:13:00,18:13:00
1475202321,09-29-2016,16:25:21,289.58,59.0,30.408,48.0,19.78,45.0,06:13:00,18:13:00
1475202025,09-29-2016,16:20:25,457.69,58.0,30.451,59.0,18.26,45.0,06:13:00,18:13:00
1475201723,09-29-2016,16:15:23,511.38,58.0,30.383,52.0,69.08,33.7,06:13:00,18:13:00
1475201422,09-29-2016,16:10:22,566.83,58.0,30.402,52.0,40.87,45.0,06:13:00,18:13:00
1475201120,09-29-2016,16:05:20,187.96,58.0,30.501,49.0,1.3,45.0,06:13:00,18:13:00
1475200820,09-29-2016,16:00:20,310.59,59.0,30.477,58.0,27.34,9.0,06:13:00,18:13:00
1475200522,09-29-2016,15:55:22,230.26,59.0,30.388,46.0,359.93,33.7,06:13:00,18:13:00
1475200221,09-29-2016,15:50:21,623.31,60.0,30.364,46.0,22.18,7.87,06:13:00,18:13:00
1475199922,09-29-2016,15:45:22,312.1,60.0,30.422,48.0,43.8,10.12,06:13:00,18:13:00
1475199624,09-29-2016,15:40:24,803.72,60.0,30.473,44.0,355.03,7.87,06:13:00,18:13:00
1475199319,09-29-2016,15:35:19,671.97,60.0,30.411,47.0,4.0,7.87,06:13:00,18:13:00
1475199020,09-29-2016,15:30:20,670.32,60.0,30.44,51.0,53.16,45.0,06:13:00,18:13:00
1475198721,09-29-2016,15:25:21,679.73,60.0,30.469,48.0,353.87,9.0,06:13:00,18:13:00
1475198424,09-29-2016,15:20:24,687.62,60.0,30.375,54.0,20.4,45.0,06:13:00,18:13:00
1475198118,09-29-2016,15:15:18,289.58,61.0,30.399,53.0,34.85,11.25,06:13:00,18:13:00
1475197821,09-29-2016,15:10:21,716.27,54.4,30.382,44.0,11.08,7.87,06:13:00,18:13:00
1475197523,09-29-2016,15:05:23,744.43,61.0,30.511,50.0,16.0,5.62,06:13:00,18:13:00
1475197330,09-29-2016,15:02:10,612.34,61.0,30.375,68.8,345.21,7.87,06:13:00,18:13:00
1475196921,09-29-2016,14:55:21,289.58,61.0,30.436,50.0,165.42,45.0,06:13:00,18:13:00
1475196621,09-29-2016,14:50:21,773.71,61.0,30.507,57.0,30.3,6.75,06:13:00,18:13:00
1475196318,09-29-2016,14:45:18,790.08,61.0,30.506,59.0,34.24,33.7,06:13:00,18:13:00
1475196023,09-29-2016,14:40:23,804.28,61.0,30.417,59.0,19.11,7.87,06:13:00,18:13:00
1475195724,09-29-2016,14:35:24,289.58,61.0,30.487,53.0,84.61,6.75,06:13:00,18:13:00
1475195419,09-29-2016,14:30:19,855.63,62.0,30.513,51.0,31.88,5.62,06:13:00,18:13:00
1475195120,09-29-2016,14:25:20,289.58,62.0,30.378,58.0,149.48,33.7,06:13:00,18:13:00
1475194821,09-29-2016,14:20:21,289.58,62.0,30.381,54.0,62.54,33.7,06:13:00,18:13:00
1475194527,09-29-2016,14:15:27,872.67,62.0,30.494,58.0,39.59,5.62,06:13:00,18:13:00
1475194220,09-29-2016,14:10:20,289.58,62.0,30.372,50.0,122.13,45.0,06:13:00,18:13:00
1475193619,09-29-2016,14:00:19,911.06,62.0,30.466,68.8,65.07,7.87,06:13:00,18:13:00
1475193320,09-29-2016,13:55:20,925.16,62.0,30.385,68.8,69.79,7.87,06:13:00,18:13:00
1475193020,09-29-2016,13:50:20,93.32,62.0,30.488,47.0,346.87,5.62,06:13:00,18:13:00
